Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
G protein signaling pathways,WP1049,Bos taurus,21 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway, G protein mediated signaling pathway via Galphas family, G protein mediated signaling pathway via Galphaq family, G protein mediated signaling pathway via Galphai family, signaling pathway",,
G protein signaling pathways,WP1165,Canis familiaris,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
G protein signaling pathways,WP232,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
G protein signaling pathways,WP35,Homo sapiens,22 May 2021,,"G protein mediated signaling pathway via Galphaq family, G protein mediated signaling pathway, G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway via Galphas family, G protein mediated signaling pathway via Galphai family, signaling pathway",,
G protein signaling pathways,WP73,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
G protein signaling pathways,WP813,Gallus gallus,18 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
G protein signaling pathways,WP931,Pan troglodytes,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
G1 to S cell cycle control,WP1078,Bos taurus,19 Jan 2018,,"cell cycle checkpoint pathway, G1/S DNA damage checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP1195,Canis familiaris,19 Jan 2018,,"G1/S DNA damage checkpoint pathway, cell cycle checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP348,Rattus norvegicus,19 Jan 2018,,"G1/S DNA damage checkpoint pathway, cell cycle checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP413,Mus musculus,15 Mar 2016,,"G1/S DNA damage checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP445,Danio rerio,15 Mar 2018,,"G1/S DNA damage checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP45,Homo sapiens,21 Sep 2023,"CPTAC, PancCanNet","G1/S DNA damage checkpoint pathway, cell cycle checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP840,Gallus gallus,19 Jan 2018,,"G1/S DNA damage checkpoint pathway, cell cycle checkpoint pathway, regulatory pathway",,
G1 to S cell cycle control,WP959,Pan troglodytes,19 Jan 2018,,"cell cycle checkpoint pathway, G1/S DNA damage checkpoint pathway, regulatory pathway",,
G13 signaling pathway,WP1063,Bos taurus,21 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway, signaling pathway",,
G13 signaling pathway,WP1179,Canis familiaris,21 May 2021,,"G protein mediated signaling pathway, G protein mediated signaling pathway via Galpha12/Galpha13 family, signaling pathway",,
G13 signaling pathway,WP298,Mus musculus,14 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, signaling pathway",,
G13 signaling pathway,WP520,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway, signaling pathway",,
G13 signaling pathway,WP524,Homo sapiens,17 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway, signaling pathway",,
G13 signaling pathway,WP826,Gallus gallus,18 May 2021,,"G protein mediated signaling pathway, G protein mediated signaling pathway via Galpha12/Galpha13 family, signaling pathway",,
G13 signaling pathway,WP945,Pan troglodytes,21 May 2021,,"G protein mediated signaling pathway via Galpha12/Galpha13 family, G protein mediated signaling pathway, signaling pathway",,
GABA metabolism (aka GHB),WP4157,Homo sapiens,01 Apr 2023,"IEM, RareDiseases","xenobiotic metabolic pathway, neurotransmitter metabolic pathway, gamma-aminobutyric acid metabolic pathway, classic metabolic pathway","succinic semialdehyde dehydrogenase deficiency, GABA aminotransferase deficiency, gamma-amino butyric acid metabolism disorder, genetic disease",
GABA receptor signaling,WP4159,Homo sapiens,23 Jun 2021,,"neurotransmitter metabolic pathway, benzodiazepine pharmacodynamics pathway, synaptic vesicle exocytosis - neurotransmitter release pathway, signaling pathway, gamma-aminobutyric acid signaling pathway, calcium channel blocker drug pathway, classic metabolic pathway, drug pathway, regulatory pathway",,"GABAergic neuron, animal cell"
GDNF signaling,WP5143,Homo sapiens,21 Dec 2021,,signaling pathway,,
GDNF/RET signaling axis,WP4820,Mus musculus,01 Feb 2023,,regulatory pathway,CAKUT,
GDNF/RET signaling axis,WP4830,Homo sapiens,01 Feb 2023,RareDiseases,regulatory pathway,CAKUT,
"GPCRs, class A rhodopsin-like",WP1072,Bos taurus,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class A rhodopsin-like",WP189,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class A rhodopsin-like",WP455,Homo sapiens,22 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class A rhodopsin-like",WP473,Rattus norvegicus,24 Feb 2023,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class B secretin-like",WP1005,Bos taurus,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class B secretin-like",WP334,Homo sapiens,22 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class B secretin-like",WP378,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class B secretin-like",WP456,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class C metabotropic glutamate, pheromone",WP1051,Bos taurus,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class C metabotropic glutamate, pheromone",WP327,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class C metabotropic glutamate, pheromone",WP42,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, class C metabotropic glutamate, pheromone",WP501,Homo sapiens,22 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, non-odorant",WP1396,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, odorant",WP1397,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, orphan",WP1398,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, other",WP117,Homo sapiens,22 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, other",WP409,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, other",WP41,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, other",WP990,Bos taurus,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, peptide",WP234,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
"GPCRs, small ligand",WP353,Mus musculus,23 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
GPR143 in melanocytes and retinal pigment epithelium cells,WP4941,Homo sapiens,17 Dec 2021,,,ocular albinism,"melanocyte, retinal pigment epithelial cell, native cell, animal cell"
GPR40 pathway,WP3958,Homo sapiens,18 May 2021,,"G protein mediated signaling pathway, signaling pathway, insulin secretion pathway, regulatory pathway",,
Galanin receptor pathway,WP4970,Homo sapiens,20 Nov 2020,,signaling pathway,nervous system disease,
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",WP4518,Homo sapiens,18 Jan 2023,"IEM, RareDiseases","amino acid metabolic pathway, glutathionuria disease pathway, glutathione biosynthetic pathway, disease pathway, glutathione metabolic pathway, classic metabolic pathway","metabolic acidosis, gamma-glutamyl transpeptidase deficiency, hemolytic anemia, autosomal recessive disease, disease of metabolism, genetic disease,",
Ganglio series sphingolipid metabolism,WP5299,Homo sapiens,01 Feb 2023,,"ganglioside metabolic pathway, classic metabolic pathway",,
Ganglio sphingolipid metabolism,WP1423,Homo sapiens,21 May 2021,,"sphingolipid metabolic pathway, ganglioside metabolic pathway, sphingolipid biosynthetic pathway, classic metabolic pathway",,
Ganglio sphingolipid metabolism,WP3219,Bos taurus,21 May 2021,,"sphingolipid metabolic pathway, classic metabolic pathway",,
Gastric acid production,WP2596,Homo sapiens,21 Feb 2021,,regulatory pathway,,"stomach enteroendocrine cell, parietal cell, native cell, animal cell"
Gastric acid production,WP3172,Bos taurus,25 Jul 2016,,regulatory pathway,,"parietal cell, stomach enteroendocrine cell, animal cell, native cell"
Gastric cancer network 1,WP2361,Homo sapiens,22 May 2021,,"cell cycle pathway, mitotic, cancer pathway, regulatory pathway, disease pathway","gastric adenocarcinoma, stomach cancer, disease of cellular proliferation",
Gastric cancer network 1,WP3166,Bos taurus,21 May 2021,,"cell cycle pathway, mitotic, cancer pathway, regulatory pathway, disease pathway","gastric adenocarcinoma, stomach cancer, disease of cellular proliferation",
Gastric cancer network 2,WP2363,Homo sapiens,22 May 2021,,"disease pathway, cancer pathway","stomach cancer, gastric adenocarcinoma, cancer, disease of cellular proliferation",
Gastric cancer network 2,WP3139,Bos taurus,25 Jul 2016,,"disease pathway, cancer pathway","stomach cancer, gastric adenocarcinoma, disease of cellular proliferation",
Gastrin signaling pathway,WP4659,Homo sapiens,22 Apr 2023,,"peptide and protein hormone signaling pathway, hormone signaling pathway, signaling pathway",,"gastrin secreting cell, native cell"
Gene regulatory network modelling somitogenesis,WP2852,Mus musculus,25 Jul 2016,,regulatory pathway,,
Gene regulatory network modelling somitogenesis,WP2854,Homo sapiens,28 Aug 2019,,regulatory pathway,,
Gene regulatory network modelling somitogenesis,WP3216,Bos taurus,25 Jul 2016,,regulatory pathway,,
Genes associated with the development of rheumatoid arthritis,WP5033,Homo sapiens,08 Jun 2021,,disease pathway,rheumatoid arthritis,
Genes controlling nephrogenesis,WP4823,Homo sapiens,17 Jun 2021,RareDiseases,signaling pathway,CAKUT,
Genes related to primary cilium development (based on CRISPR),WP4536,Homo sapiens,22 Jun 2020,,"transport pathway, regulatory pathway",,
Genes targeted by miRNAs in adipocytes,WP1992,Homo sapiens,15 Aug 2019,ExRNA,,,"fat cell, native cell"
Genetic alterations of lung cancer,WP1968,Rattus norvegicus,23 Jun 2023,,"cancer pathway, lung cancer pathway, disease pathway","lung cancer, disease of cellular proliferation",
Genetic causes of porto-sinusoidal vascular disease,WP5269,Homo sapiens,01 Feb 2023,RareDiseases,disease pathway,"X-linked agammaglobulinemia, Adams-Oliver syndrome, chronic granulomatous disease, portal hypertension, genetic disease, , cardiovascular system disease",
Genetic interactions between sugar and hormone signaling,WP3661,Arabidopsis thaliana,19 May 2021,,"glucose homeostasis pathway, regulatory pathway",,
Geranylgeranyldiphosphate biosynthesis II (plastidic),WP2211,Oryza sativa,17 Sep 2019,,"diterpenoid biosynthetic pathway, classic metabolic pathway",,obsolete plant cell
Gibberellin A12 biosynthesis,WP2628,Solanum lycopersicum,25 Jul 2023,,classic metabolic pathway,,
Glial cell differentiation,WP2276,Homo sapiens,18 Jan 2023,,"signaling pathway, signaling pathway pertinent to development",,"stem cell, neural cell, glial cell, animal cell"
Glial cell differentiation,WP3203,Bos taurus,16 May 2021,,"signaling pathway pertinent to development, signaling pathway",,
Glioblastoma signaling pathways,WP2261,Homo sapiens,27 May 2021,ExRNA,"glioma pathway, epidermal growth factor/neuregulin signaling pathway, phosphatidylinositol 3-kinase class II signaling pathway, Arf family mediated signaling pathway, the extracellular signal-regulated Raf/Mek/Erk signaling pathway, phosphatidylinositol 3-kinase class I signaling pathway, fibroblast growth factor signaling pathway, protein kinase C (PKC) signaling pathway, p53 signaling pathway, disease pathway, signaling pathway, regulatory pathway","brain cancer, glioblastoma, cancer, central nervous system disease, disease of cellular proliferation","glioblast, native cell"
Globo series sphingolipid metabolism,WP5305,Mus musculus,18 Mar 2023,Lipids,"lipid metabolic pathway, globoside metabolic pathway, classic metabolic pathway",,
Globo sphingolipid metabolism,WP3278,Bos taurus,21 May 2021,,"classic metabolic pathway, sphingolipid metabolic pathway",,
Glucocorticoid biosynthesis,WP5280,Homo sapiens,28 Sep 2023,,"glucocorticoid biosynthetic pathway, classic metabolic pathway, cortisol biosynthetic pathway, lipid metabolic pathway",,
Glucocorticoid effect on target gene expression,WP1963,Rattus norvegicus,28 Apr 2023,,"glucocorticoid signaling pathway, signaling pathway",,
Glucocorticoid metabolism,WP305,Rattus norvegicus,16 May 2021,,"C21-steroid hormone biosynthetic pathway, classic metabolic pathway",,
Glucocorticoid receptor pathway,WP2880,Homo sapiens,22 May 2021,,"glucocorticoid signaling pathway, signaling pathway",,
Gluconeogenesis,WP156,Saccharomyces cerevisiae,23 Dec 2018,,"gluconeogenesis pathway, regulatory pathway",,
Gluconeogenesis,WP2630,Solanum lycopersicum,17 Sep 2019,,"gluconeogenesis pathway, classic metabolic pathway, regulatory pathway",,
Glucose homeostasis,WP661,Homo sapiens,18 Apr 2023,,"glucose homeostasis pathway, regulatory pathway",,
Glucose metabolism in triple-negative breast cancer cells,WP5211,Homo sapiens,10 Dec 2022,,"citric acid cycle pathway, glycolysis pathway, pentose phosphate pathway, classic metabolic pathway","triple-receptor negative breast cancer, disease of cellular proliferation",
Glucose sensing and signaling,WP3860,Arabidopsis thaliana,19 May 2021,,signaling pathway,,
Glucose-1-phosphate metabolism,WP260,Saccharomyces cerevisiae,17 Sep 2019,,"glycogen biosynthetic pathway, glucose utilization pathway, glucose conversion pathway, classic metabolic pathway, regulatory pathway",,
Glucosinolate biosynthesis (from aromatic amino acid),WP4598,Arabidopsis thaliana,26 Jul 2019,,classic metabolic pathway,,
Glucosinolate biosynthesis from branched-chain amino acid,WP4599,Arabidopsis thaliana,28 May 2021,,classic metabolic pathway,,
Glucosinolate biosynthesis from methionine,WP4597,Arabidopsis thaliana,28 May 2021,,classic metabolic pathway,,
Glucuronidation,WP1241,Mus musculus,17 Sep 2019,,"glucuronidation conjugation pathway, regulatory pathway",,
Glucuronidation,WP1276,Rattus norvegicus,17 Sep 2019,,"glucuronidation conjugation pathway, regulatory pathway",,
Glucuronidation,WP3210,Bos taurus,16 Aug 2019,,"glucuronidation conjugation pathway, regulatory pathway",,
Glucuronidation,WP698,Homo sapiens,18 Apr 2023,,"glucuronidation conjugation pathway, regulatory pathway",,
